'Tukija';'Tukijan y-tunnus/yhdistysrekisterinumero jos on';'Tukijan etunimet';'Tukijan sukunimi';'Tukijan kotikunta jos on';'Tukilahteen lomakenumerot';'Lainan nimi';'Lainan takaisinmaksuaika/laina-aika';'Tuen maara';'Tuen saajan etunimet';'Tuen saajan Sukunimi';'Vaalipiiri / Kunta';'Tuen saajan puolue'
'';'';'';'';'';'2.8';'';'';'0,00';'Pirjo';'Yltävä';'Tuusula';'TuPu'
'';'';'';'';'';'2.8';'';'';'0,00';'Pirjo';'Yltävä';'Tuusula';'TuPu'
'';'';'';'';'';'2.2';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.3';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.3';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.4';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.4';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.5';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.5';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.6';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.6';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.7';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.7';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.8';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.8';'';'';'0,00';'Veli-Matti';'Hietikko';'Tyrnävä';'KESK'
'';'';'';'';'';'2.3';'';'';'0,00';'Jukka';'Kantola';'Tyrnävä';'KESK'
'';'';'';'';'';'2.4';'';'';'0,00';'Jukka';'Kantola';'Tyrnävä';'KESK'
'Stiftelsen för det tvåspråkig Finland';'';'';'';'';'2.7';'';'';'500,00';'Anna';'Caldén';'Uusikaarlepyy';'SDP'
'Stiftelsen för det tvåspråkiga Finland';'';'';'';'';'2.8';'';'';'500,00';'Anna';'Caldén';'Uusikaarlepyy';'SDP'
'Vaasan työväenyhdistys ry';'1516749-5';'';'';'';'2.6';'';'';'200,00';'Sari';'Ala-Heikkilä';'Vaasa';'SDP'
'Tradeka';'';'';'';'';'2.4';'';'';'1000,00';'Harri';'Moisio';'Vaasa';'VAS'
'Kokkolan hinauspalvelu';'1760825-8';'';'';'';'2.4';'';'';'1900,00';'Tero';'Sulkakoski';'Vaasa';'PS'
'';'';'';'';'';'2.2';'';'';'0,00';'Kari';'Salminen';'Valkeakoski';'KOK'
'Teollisuusdemarien opintoyhdistys';'3038199-1';'';'';'';'2.7';'';'';'1000,00';'Timo';'Suhonen';'Varkaus';'SDP'
