'Ehdokasnumero';'Kuntanumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalirahoitukseni ei ole ylittanyt 800 euroa';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0718';'091';'Leo';'Stranius';'kaupunginvaltuutettu, toiminnanjohtaja';'Helsinki';'VIHR';'07.05.2017';'';'';'';'7411,24';'867,50';'';'';'4875,80';'';'';'682,56';'161,20';'';'';'824,18';'7411,24';'6669,77';'';'485';'X';'Rahotus sisältää seuraavat (12 kpl) yksityishenkilöiltä saadut lahjoitukset: <br /><br />- Tita Jänkälä, Helsinki 15 e <br />- Kaisa Västilä, Helsinki 100 e <br />- Lahjoittajan nimeä ei saa julkaista, Helsinki 100 e <br />- Anna Ruohonen, Helsinki 50 e <br />- Anna Brentnall, Helsinki 20 e <br />- Antti-Ilari Partanen, Espoo 15 e <br />- Johanna Kohl, Helsinki 10 e<br />- Lahjoittajan nimeä ei saa julkaista, Helsinki 50 e<br />- Lahjoittajan nimeä ei saa julkaista, Helsinki 50 e<br />- Lahjoittajan nimeä ei saa julkaista, Helsinki 15 e<br />- Lahjoittajan nimeä ei saa julkaista, Helsinki 50 e<br />- Lahjoittajan nimeä ei saa julkaista, Helsinki 10 e<br /><br />Yhteensä 485 e';'';'X';'';'';'X';'';'256,47';'X';'';'';'X';'';'';'Sanoma, ilmaisjakelu- ja aikakauslehdet (867,50 e) sisältää seuraavia yhteismainosten kuluja:<br /><br />- Voima-lehden yhteismainoksia 2 kpl, yhteensä 349 e <br />- Helsingin Uutisten yhteismainos 156,17 e<br />- Metro-lehden yhteismainos 180,30 e <br />- Käpylä-lehden yhteismainos 182,03 e <br /><br />Tietoverkot (4875,80 e) sisältää seuraavia kuluja:<br /><br />- HS.fi ja HS.fi mobiilimainonta 2553,41 e <br />- Facebook-mainonta 2322,39 e <br /><br />Vaalilehtien, esitteiden ja muun painetun materiaalin hankinta (682,56 e) sisältää seuraavia kuluja: <br /><br />- Esitteen painokulut (ERWEKO), 2000 kpl, yhteensä 333,56 e <br />- Esitteen painokulut (aDigi), 3000 kpl, yhteensä 349 e <br /><br />Mainonnan suunnittelu (161,20 e) sisältää seuraavia kuluja: <br /><br />- Esitteen taitto (Toiminimi Kirmo) 62 e <br />- HS.fi ja HS.fi mobiilimainosten taitto (HS) 99,20 e <br /><br />Muut kulut (824,18 e) sisältää seuraavia kuluja: <br /><br />- Ehdokasmaksu 150 e <br />- Valokuvaus 24,80 e <br />- Tarjoilut 12,41 e<br />- Tarjoilut 36,97 e<br />- Läpimenomaksu Helsigin Vihreille 600 e<br /><br />Puoueyhdistyksiltä saatu tuki (256,47 e) pitää sisällään Arabian-Käpylän-Viikin Vihreiden tuen Helsingin Uutisten (126,17 e) ja Metro-lehden (130,30) yhteismainoksiin.<br /><br /><br />'
'0651';'091';'Mikko';'Kiesiläinen';'ekonomisti, liiketoimintajohtaja';'Helsinki';'VIHR';'04.05.2017';'';'';'';'10802';'';'';'';'8159';'';'1593';'900';'';'';'';'150';'10802';'4293';'0';'4510';' ';'';'1499';' ';'';'';'X';'';'';'X';'';'500';'X';'';'';''
'0622';'091';'Fatim';'Diarra';'opettajaopiskelija, kansainvälisten asioiden asiantuntija';'Helsinki';'VIHR';'11.06.2017';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0668';'091';'Pauliina';'Lehtinen';'toiminnanjohtaja, valtiotieteiden maisteri';'Helsinki';'VIHR';'28.05.2017';'';'';'';'3854';'23';'';'';'184';'';'2925';'472';'100';'';'';'150';'4227';'3549';'';'305';'X';'';'';'X';'';'';'X';'';'373';' ';'';'';'X';'';'';''
'0734';'091';'Reetta';'Vanhanen';'lääkäri';'Helsinki';'VIHR';'19.04.2017';'';'';'';'16593';'150';'';'';'7980';'';'3782';'3456';'250';'';'';'975';'16593';'9462';'';'6579';' ';'';'';'X';'';'';'X';'';'552';'X';'';'';'X';'';'';''
'0737';'091';'Sanna';'Vesikansa';'kaupunginvaltuutettu, valtiotieteiden maisteri';'Helsinki';'VIHR';'08.06.2017';'';'';'';'7095,80';'1875,86';'';'';'1899,11';'';'1164,80';'710,98';'744,00';'100,00';'';'601,05';'7095,80';'1602,16';'';'3650,00';' ';'Vanhempieni tuki vaalikampanjaan';'1600,00';' ';'Mieheni yrityksen kustantama nettisivujen uusiminen';'';' ';'';'243,64';'X';'';'';' ';'';'';''
'0630';'091';'Atte';'Harjanne';'diplomi-insinööri, tutkija';'Helsinki';'VIHR';'22.05.2017';'';'';'';'7262,67';'0';'0';'0';'2223,39';'0';'1672,41';'1276,3';'0';'974';'766,57';'350';'7262,67';'3579,97';'0';'3503,50';' ';'';'100';'X';'';'79,2';'X';'';'0';'X';'';'0';'X';'';'0';''
'0475';'091';'Tuomo';'Valokainen';'muusikko, lähihoitaja';'Helsinki';'SDP';'04.06.2017';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';'300 euroa omaa rahaa. '
'0712';'091';'Satu';'Silvo';'näyttelijä, yrittäjä';'Helsinki';'VIHR';'02.05.2017';'';'';'';'2676,74';'1008,00';'';'';'360,00';'';'';'558,74';'';'';'';'750,00';'2676,74';'2576,74';'';'100,00';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0648';'091';'Emma';'Kari';'kansanedustaja, kaupunginvaltuutettu';'Helsinki';'VIHR';'09.06.2017';'';'';'';'20284,43';'';'';'';'3527,78';'';'13461';'666,6';'2584,4';'';'';'44,65';'20284,43';'14951,73';'';'4182,7';'X';'';'';'X';'';'';'X';'';'1150';' ';'';'';'X';'';'';''
'0639';'091';'Suzan';'Ikävalko';'kaupunginvaltuutettu, kauppatieteiden maisteri';'Helsinki';'VIHR';'28.05.2017';'';'';'';'4411';'1655';'';'';'200';'';'1840';'616';'';'';'';'100';'4411';'2691';'';'1720';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0621';'091';'Jussi';'Chydenius';'kaupunginvaltuutettu, muusikko';'Helsinki';'VIHR';'28.04.2017';'';'';'';'200';'200';'';'';'';'';'';'';'';'';'';'';'200';'200';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0661';'091';'Minerva';'Krohn';'kaupunginvaltuutettu, överläkare';'Helsinki';'VIHR';'11.06.2017';'';'';'';'8975';'2250';'';'';'1500';'';'4200';'800';'';'50';'175';'';'8975';'2157';'';'5845';' ';'';'850';'X';'';'';'X';'';'123';'X';'';'';'X';'';'';''
'0689';'091';'Jarmo';'Nieminen';'kaupunginvaltuutettu, everstiluutnantti evp.';'Helsinki';'VIHR';'12.06.2017';'';'Ihminen edellä ry';'';'2985,49';'667,84';'';'';'814,51';'';'';'1070,74';'';'100,00';'';'332,40';'2985,49';'2985,49';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0643';'091';'Kati';'Juva';'dosentti, erikoislääkäri';'Helsinki';'VIHR';'20.04.2017';'';'';'';'11473,92';'4313,8';'0';'0';'0';'18,88';'2978';'919,92';'1641,60';'864,32';'0';'737,4';'11473,92';'10460,32';'';'200';'X';'';'';' ';'';'';' ';'';'813,60';'X';'';'';' ';'';'';''
'0716';'091';'Osmo';'Soininvaara';'kaupunginvaltuutettu, yrittäjä';'Helsinki';'VIHR';'02.06.2017';'';'';'';'11561,40';'3351';'';'';'';'';'6139';'';'';'';'852,40';'1219';'11561,40';'3507,83';'0';'6319,57';' ';'';'584';'X';'';'1150';' ';'';'';' ';'';'';' ';'';'';''
'0628';'091';'Jasmin';'Hamid';'kaupunginvaltuutettu, teatteritaiteen maisteri';'Helsinki';'VIHR';'28.05.2017';'';'Elinvoimainen Helsinki';'';'8906,39';'787,15';'';'';'836,84';'720,00';'4598,40';'420,00';'744,00';'100,00';'700,00';'';'8906,39';'3051,39';'';'1210,00';' ';'';'4372,00';'X';'';'';'X';'';'273,00';'X';'';'';'X';'';'';''
'0658';'091';'Anu';'Korppi';'diplomaatti, valtiotieteiden maisteri';'Helsinki';'VIHR';'10.05.2017';'';'';'';'2456,87';'509,12';'';'';'345,75';'';'370';'427,80';'250';'272,20';'';'282';'2713,34';'996,87';'';'1460';'X';'';'';' ';'';'';' ';'';'256,47';'X';'Puolueyhdistyksen tuki tarkoittaa alennusta yhteisten  lehti-ilmoitusten maksusta,';'';' ';'';'';''
'0694';'091';'Maria';'Ohisalo';'köyhyystutkija, Vihreiden varapuheenjohtaja';'Helsinki';'VIHR';'24.04.2017';'';'';'';'13918,26';'1434,40';'';'';'2050,62';'';'5843';'1020,46';'2565,41';'254,37';'';'750';'13947,72';'2000';'';'6024,72';' ';'';'3000';' ';'';'';' ';'';'1423';' ';'';'1500';' ';'';'';'Säästin vaaleja varten 2000 euroa omaa rahaa ja keräsimme kampanjatiimini kanssa sen päälle reilusti yli 10 000 euroa kampanjarahaa. Lämpimin kiitokseni kaikille lahjoittajille. Yksittäisiä lahjoituksia tuli lähes 70 kappaletta ja jokainen kymppi auttoi tekemään kampanjateemoja näkyvämmiksi.'
'0635';'091';'Mari';'Holopainen';'kaupunginvaltuutettu, kauppatieteiden väitöskirjatutkija';'Helsinki';'VIHR';'12.06.2017';'';'';'';'8903';'133';'';'';'3805';'';'2073';'754';'1610';'100';'';'428';'8903';'8460';'';'170';'X';'';'';'X';'';'';'X';'';'273';'X';'';'';'X';'';'';''
'0498';'091';'Mika';'Ebeling';'pastori, raamattukouluttaja';'Helsinki';'KD';'16.05.2017';'';'';'';'2428,48';'1450';'808,48';'';'50';'';'100';'';'20';'';'';'';'2428,48';'2428,48';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0822';'091';'Jussi';'Niinistö';'filosofian tohtori, puolustusministeri';'Helsinki';'PS';'10.05.2017';'';'';'';'3930';'2618';'';'';'253';'';'250';'220';'589';'';'';'';'3930';'3930';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0653';'091';'Otso';'Kivekäs';'valtuustoryhmän puheenjohtaja, ohjelmistoarkkitehti';'Helsinki';'VIHR';'12.06.2017';'';'';'';'12024,83';'1987,60';'';'';'645,54';'';'7604';'1007,94';'';'55';'';'724,75';'12024,83';'1744,83';'';'8630';' ';'';'500';'X';'';'';'X';'';'1150';' ';'';'';'X';'';'0';''
'0692';'091';'Johanna';'Nuorteva';'erityisluokanopettaja, suppleant i stadsfullmäktige';'Helsinki';'VIHR';'11.06.2017';'';'';'';'1661,13';'827,40';'';'';'';'243,73';'';'440';'';'';'150';'';'1917,6';'1261,13';'';'400';' ';'';'';' ';'';'';' ';'';'256,47';'X';'256,47€ on laskennallinen tuki, Arabian-Kumpulan-Käpylän vihreät maksoivat osan tapahtumien mainoksista, Tämän vuoksi käytännössä rahoitus menee yli, Todelliset kulut ovat olleet muut menot ja tulot, ';'';' ';'';'';''
'0715';'091';'Sameli';'Sivonen';'arkkitehtuurin ja taloustieteen ylioppilas';'Helsinki';'VIHR';'07.06.2017';'';'Sameli Sivosen tukiryhmä';'';'3270,59';'134';'0';'0';'740';'30';'300';'925,28';'0';'0';'370,23';'771,08';'3270,59';'900,81';'0';'2269,78';'X';'';'0';'X';'';'0';'X';'';'100';'X';'';'0';'X';'';'0';''
'0007';'091';'Kukka';'Eskola';'vapaaehtoistyöntekijä, mielenterveyskuntoutuja';'Helsinki';'FP';'05.06.2017';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0742';'091';'Ozan';'Yanar';'kansanedustaja, valtiotieteiden kandidaatti';'Helsinki';'VIHR';'12.06.2017';'';'';'';'22138,62';'';'';'';'2862,43';'';'12556,00';'1885,68';'806,00';'263,91';'1350,00';'2414,60';'22138,62';'18480,77';'';'2507,85';'X';'';'';'X';'';'';'X';'';'1150,00';' ';'';'';'X';'';'';''
'0681';'091';'Matilda';'Merenmies';'juristi, oikeustieteen maisteri';'Helsinki';'VIHR';'12.06.2017';'';'Merenmies valtuustoon 2017';'';'1351';'';'';'';'116';'';'960';'230';'';'';'';'45';'1351';'581';'0';'770';'X';'';'0';' ';'';'0';' ';'';'0';' ';'';'0';' ';'';'0';''
'0714';'091';'Anni';'Sinnemäki';'apulaiskaupunginjohtaja';'Helsinki';'VIHR';'12.06.2017';'';'';'';'34198,83';'2788,15';'';'';'11783,04';'8219,72';'';'1390,04';'7812,00';'';'';'2205,88';'34198,83';'16911,64';'';'1147,15';'X';'';'';'X';'';'';'X';'';'16140,04';' ';'';'';'X';'';'';''
'0117';'091';'Jenni';'Pajunen';'toimitusjohtaja, KTM';'Helsinki';'KOK';'04.06.2017';'';'Maailman paras pääkaupunki ry';'';'10795';'2570';'';'';'4549';'';'757';'964';'1021';'510';'';'424';'10795';'2696';'';'4999';' ';'';'3100';' ';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0660';'091';'Tuuli';'Kousa';'kaupunginvaltuuston puheenjohtaja, Master of Laws';'Helsinki';'VIHR';'05.06.2017';'';'Helsingin Myötätuuli ';'';'12972,00';'1598,00';'';'';'1009,50';'';'8373,00';'1085,00';'';'';'136,50';'770,00';'12972,00';'8361,00';'';'989,00';'X';'';'2349,00';'X';'';'';'X';'';'1273,00';' ';'';'';'X';'';'';''
'0241';'091';'Paavo';'Arhinmäki';'kansanedustaja, riksdagsledamot';'Helsinki';'VAS';'04.05.2017';'';'';'';'5387,10';'3603,08';'';'';'459,82';'';'286';'1008,20';'';'';'';'30';'5387,10';'4627,10';'';'200';'X';'';'500';'X';'';'';'X';'';'';'X';'';'60';'X';'';'';''
'0257';'091';'Sandra';'Hagman';'historian tohtori, sosiaalityöntekijä';'Helsinki';'VAS';'18.05.2017';'18.05.2017';'';'';'967,55';'50';'';'';'191,55';'56';'';'196,31';'';'413,29';'';'60,40';'967,55';'161,55';'';'806';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'Tietoverkot: Facebook 191,55, Muut viestintävälineet: Rintamerkit 56 eur.'
'0121';'091';'Matti';'Parpala';'toimitusjohtaja, Master in Public Policy';'Helsinki';'KOK';'07.06.2017';'';'Fiksumpi Suomi ry';'';'4827,08';'';'';'';'795,02';'';'1964,06';'1907,74';'';'160,26';'';'';'4827,08';'1667,09';'';'1860,00';'X';'';'500,00';'X';'';'';'X';'';'';'X';'';'799,99';'X';'';'';''
'0720';'091';'Johanna';'Sydänmaa';'kaupunginvaltuutettu, liikunnan ja terveystiedon opettaja';'Helsinki';'VIHR';'12.06.2017';'';'';'';'4703,24';'1801,15';'';'';'590,09';'';'1680';'308,80';'100';'';'';'223,20';'4703,24';'2380,45';'';'1790,38';'X';'';'';'X';'';'';'X';'';'532,41';'X';'';'';'X';'';'';''
'0748';'091';'Toni';'Ahva';'kansanedustajan avustaja';'Helsinki';'PS';'27.04.2017';'';'Toni Ahvan tukiyhdistys';'';'3359,19';'783,68';'';'';'413,45';'';'580,94';'1361,12';'';'';'';'220';'3359,19';'3359,19';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
