'Ehdokasnumero';'Kuntanumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalirahoitukseni ei ole ylittanyt 800 euroa';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'1066';'091';'Leo';'Bergman';'diplomi-insinööri';'Helsinki';'LIBE';'11.06.2017';'';'';'';'50';'';'';'';'';'';'';'';'';'';'';'50';'50';'50';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0279';'091';'Mai';'Kivelä';'Master in Environment and Development, toiminnanjohtaja';'Helsinki';'VAS';'12.06.2017';'';'Mai Kivelän tukiryhmä';'';'4646';'50';'';'';'2100';'';'150';'1402';'';'757';'';'187';'4789';'600';'';'3939';'X';'';'';'X';'';'';' ';'';'';'X';'';'250';'X';'';'';''
'0280';'091';'Dan';'Koivulaakso';'yhteiskuntatieteiden maisteri, poliittinen sihteeri, politisk sekreterare';'Helsinki';'VAS';'19.04.2017';'';'Dan Koivulaakso tukiryhmä';'';'4445';'625,47';'0';'0';'2294,77';'0';'366';'928,76';'0';'230';'0';'0';'4445';'1000';'0';'245';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'3200';' ';'';'';'Kampanja on saanut yhteensä 245 euron edestä lahjoituksia neljältä yksityishenkilöltä. Lahjoitussummat vaihtelevat 20 ja 100 euron välillä. <br /><br />Seuraavat yhdistykset ovat em. säätiön lisäksi rahoittaneet vaalikampanjaani.<br />STARA JHL 4 ry. - 500 euroa <br />Kuljetustyön tuki ry. - 200 euroa <br />Finnish Business Angels Network - 200 euroa <br />Raitio- ja metrohenkilökunnan JHL 19 ry - 500 euroa <br />Helsingin leipomotyöntekijöiden ammattiosasto 1 ry. 300 euroa <br />Helsingin kaupungin teollisuustyöntekijät JHL 6 ry. - 300 euroa <br />Helsingin kaupungin raidetyöntekijät JHL 7 ry. - 200 euroa.<br />Helsingin kaupungin viran- ja toimenhaltijat JHL 10 ry. 200 euroa. '
'0697';'091';'Amanda';'Pasanen';'miljövetenskapsstuderande, ympäristötieteiden opiskelija';'Helsinki';'VIHR';'19.05.2017';'';'';'';'2801';'400';'';'';'342';'';'900';'900';'';'';'';'259';'2801';'491';'';'2310';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0685';'091';'Elina';'Moisio';'ekonomisti, työelämäasiantuntija';'Helsinki';'VIHR';'09.06.2017';'';'';'';'7715,85';'1475,85';'';'';'870';'';'1878,60';'1541,40';'1100';'100';'';'750';'7715,85';'5013,95';'';'1592,80';'X';'';'795';'X';'';'';' ';'';'314,10';'X';'';'';' ';'';'';''
'0703';'091';'Tuomas';'Rantanen';'kaupunginvaltuutettu, kustannuspäällikkö';'Helsinki';'VIHR';'11.05.2017';'';'';'';'7668';'1972';'';'';'1657';'';'2810';'330';'749';'';'';'150';'7668';'3796';'';'3872';' ';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0691';'091';'Laura';'Nordström';'kansainvälisten asioiden päällikkö, väitöskirjatutkija';'Helsinki';'VIHR';'07.06.2017';'';'';'';'4795,5';'372';'0';'0';'944,86';'0';'2185,3';'896,34';'200';'20';'0';'177';'4795,5';'1984,1';'0';'2538,4';'X';'';'0';'X';'';'0';'X';'';'273';'X';'';'0';'X';'';'0';'Tuki yksityishenkilöiltä sisältää 524 euroa kirpputorituloja. Muissa kuluissa on ehdokasmaksu (150 e) ja rintamerkit (27 e). Tarkemmin mainosten hinnoista voit katsoa: http://www.lauranordstrom.fi/vaalibudjetti-2017/'
'0941';'091';'Pekka';'Puska';'kansanedustaja, professori';'Helsinki';'KESK';'02.05.2017';'';'';'';'18500';'13000';'0';'0';'0';'0';'0';'800';'4200';'0';'0';'500';'18500';'18500';'0';'0';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';''
'0721';'091';'Mikko';'Särelä';'projektipäällikkö, tekniikan tohtori';'Helsinki';'VIHR';'12.05.2017';'';'';'';'6212,14';'';'';'';'2625,84';'';'1589,40';'1190,76';'0';'300';'192';'314,14';'6212,14';'144,14';'';'4736';'X';'';'1332';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0743';'091';'Ville';'Ylikahri';'filosofian maisteri, opintojohtaja';'Helsinki';'VIHR';'11.05.2017';'';'';'';'9766';'1266';'';'';'440';'';'4963';'1770';'1327';'';'';'';'9766';'5136';'0';'4630';' ';'';'0';' ';'';'0';' ';'';'0';' ';'';'0';' ';'';'0';''
'0656';'091';'Joonas';'Kolehmainen';'viestinnän suunnittelija, valtiotieteiden maisteri';'Helsinki';'VIHR';'26.04.2017';'';'';'';'1363,35';'';'';'';'179,49';'';'700';'118,63';'';'206,23';'';'159';'1363,35';'583,35';'';'780';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0464';'091';'Kaarin';'Taipale';'tekniikan tohtori, kaupunkitutkija, teknologie doktor, stadsforskare';'Helsinki';'SDP';'04.06.2017';'';'';'';'11243';'2504';'';'';'621';'';'3147';'666';'350';'1060';'';'2895';'11243';'10183';'';'80';'X';'';'';'X';'';'';'X';'(Puolueelta ei tukea vain päinvastoin, maksettu piirijärjestölle ehdokasmaksu 200 euroa,)';'250';'X';'';'730';'X';'Työväen Sivistysliitto tuki kolmen, yhdessä kahden muun ehdokkaan kanssa pidetyn, sote-maakuntauudistusta käsitelleen vaalitilaisuuden järjestämistä maksamalla some- ja lehti-ilmoitukset sekä kahvituksen,';'';'Muut kulut sisältää mm. Kriittinen kaupunkiaapinen -kirjan painatuskuluja noin 2300 euron edestä ja puolueen piirijärjestölle suoritetun ehdokasmaksun 200 euroa.'
'0666';'091';'Anna';'Laine';'filosofian maisteri, verkkotuottaja';'Helsinki';'VIHR';'28.04.2017';'09.05.2017';'';'';'1881,13';'556,25';'';'';'';'';'722,43';'';'229,70';'148';'';'224,75';'1881,13';'1731,13';'';'20';'X';'';'';'X';'';'';'X';'';'130';'X';'Länsi-Helsingin Vihreät ry 100 euroa<br />Armon Vihreät ry, De Nådgröna rf  30 euroa';'';'X';'';'';''
'0627';'091';'Niina';'Halonen-Malliarakis';'erityisopettaja, apulaisrehtori';'Helsinki';'VIHR';'21.05.2017';'';'';'';'1250,00';'300,00';'';'';'';'';'500,00';'200,00';'';'';'';'250,00';'1250,00';'875,00';'';'';'X';'';'';'X';'';'';'X';'';'375,00';'X';'';'';'X';'';'';''
'0719';'091';'Riikka';'Suominen';'päätoimittaja';'Helsinki';'VIHR';'25.05.2017';'';'';'';'4689';'927,5';'868';'0';'475';'0';'1312';'754';'302,5';'50';'0';'0';'4689';'2006,25';'';'2582,75';'X';'';'';'X';'';'';'X';'';'100';'X';'';'';'X';'';'';''
'0634';'091';'Kaisa';'Hernberg';'yrittäjä';'Helsinki';'VIHR';'11.05.2017';'';'';'';'6587,83';'150';'';'';'1694,13';'';'2040';'1080,54';'248';'';'';'1375,16';'6587,83';'2156,36';'';'3775';' ';'';'200';'X';'';'';'X';'';'256,47';'X';'';'200';'X';'';'';''
'0722';'091';'Lilja';'Tamminen';'työllisyysasiantuntija, företagare';'Helsinki';'VIHR';'09.06.2017';'';'';'';'5829,58';'50';'0';'0';'574,58';'0';'3820';'585,20';'662';'0';'0';'137,80';'5829,58';'1227,58';'0';'3752';' ';'';'50';'X';'';'0';'X';'';'0';'X';'';'800';' ';'';'4552';''
'0705';'091';'Pauliina';'Saares';'erityisavustaja, valtiotieteiden maisteri';'Helsinki';'VIHR';'30.05.2017';'';'';'';'4386,84';'300';'';'';'402';'';'2963,60';'721,24';'';'';'';'';'4386,84';'2311,64';'';'2075,20';'X';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0695';'091';'Hannu';'Oskala';'kaupunginvaltuutettu, freelance-muusikko';'Helsinki';'VIHR';'09.06.2017';'';'';'';'7341,55';'';'3610,88';'';'1566,90';'';'1700,00';'463,77';'';'';'';'';'7341,55';'3904,15';'';'2728';' ';'';'';'X';'';'';'X';'';'125';'X';'';'584,40';' ';'';'';''
'1048';'091';'Petrus';'Pennanen';'ydinfysiikan tohtori, toimitusjohtaja';'Helsinki';'PIR';'27.04.2017';'';'';'';'4000';'';'';'';'2300';'';'1400';'300';'';'';'';'';'4000';'4000';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
